loss	acc	val_loss	val_acc
1.3987	0.6236	0.8130	0.9214
0.7092	0.9370	0.6333	0.9383
0.5597	0.9486	0.4872	0.9540
0.4610	0.9520	0.4381	0.9461
0.3943	0.9526	0.3638	0.9572
0.3471	0.9549	0.3212	0.9553
0.3152	0.9544	0.2941	0.9553
0.3155	0.9488	0.2604	0.9613
0.2623	0.9551	0.2412	0.9572
0.2350	0.9575	0.2184	0.9572
0.2210	0.9570	0.2005	0.9636
0.2072	0.9576	0.2136	0.9563
0.2002	0.9567	0.1925	0.9595
0.1906	0.9580	0.1858	0.9618
0.2241	0.9503	0.1901	0.9567
0.2397	0.9482	0.2111	0.9530
0.1958	0.9585	0.2066	0.9549
0.1773	0.9599	0.1631	0.9632
0.1646	0.9608	0.1645	0.9636
0.1668	0.9597	0.1585	0.9618
0.1596	0.9606	0.1520	0.9627
0.1904	0.9550	0.1603	0.9641
0.1715	0.9595	0.1626	0.9599
0.1559	0.9613	0.1681	0.9576
0.1712	0.9567	0.1553	0.9632
0.1519	0.9622	0.1416	0.9636
0.1725	0.9574	0.1614	0.9544
0.2016	0.9559	0.1778	0.9595
0.1673	0.9617	0.1516	0.9669
0.1539	0.9629	0.1442	0.9664
0.1467	0.9626	0.1360	0.9673
0.1401	0.9642	0.1261	0.9682
0.1398	0.9634	0.1333	0.9655
0.1423	0.9634	0.1252	0.9687
0.1327	0.9653	0.1284	0.9659
0.1269	0.9662	0.1293	0.9669
0.1304	0.9641	0.1246	0.9682
0.1258	0.9668	0.1167	0.9701
0.1202	0.9690	0.1191	0.9687
0.1214	0.9675	0.1186	0.9682
0.1216	0.9683	0.1102	0.9724
0.1183	0.9676	0.1120	0.9692
0.1130	0.9698	0.1132	0.9715
0.1232	0.9679	0.1111	0.9715
0.1104	0.9714	0.1087	0.9710
0.1078	0.9719	0.1039	0.9733
0.1039	0.9723	0.1149	0.9696
0.1070	0.9707	0.1015	0.9742
0.1021	0.9731	0.1007	0.9719
0.0962	0.9740	0.0997	0.9738
